eventType,poolType,poolName,amountRaw,amountFormatted,tokenSymbol,tokenDecimals,basisSourceEvent,basisFormula,sourceUser,sourceReferrer,recipientOrBeneficiary,dayId,rank,luckyRank,orderId,block,tx
PoolAllocated,5,Leaderboard,20000000000000000000,20.0,USDx5,18,MachinePurchased,20000000000000000000 = 1000000000000000000000 * 200/10000 (floor by solidity),0x7123a25d205190e6844712cb18e39d6dd5316143,0x744447d8580eb900b199e852c132f626247a36f7,0x744447d8580eb900b199e852c132f626247a36f7,,,,4,7621303,0xeb588dcb3dab12b84bc574edfba29ab1e3aa1ca0c31ba410ce5e84dceb57bd07
PoolAllocated,0,Liquidity,600000000000000000000,600.0,USDx5,18,MachinePurchased,600000000000000000000 = 1000000000000000000000 * 6000/10000 (floor by solidity),0x7123a25d205190e6844712cb18e39d6dd5316143,0x744447d8580eb900b199e852c132f626247a36f7,0x744447d8580eb900b199e852c132f626247a36f7,,,,5,7621330,0xb460692e7c29152ed256660ffb248a4e22b8d05ecfbccc50af52d6ad57cf95b4
PoolAllocated,1,Referral,50000000000000000000,50.0,USDx5,18,MachinePurchased,50000000000000000000 = 1000000000000000000000 * 500/10000 (floor by solidity),0x7123a25d205190e6844712cb18e39d6dd5316143,0x744447d8580eb900b199e852c132f626247a36f7,0x744447d8580eb900b199e852c132f626247a36f7,,,,5,7621330,0xb460692e7c29152ed256660ffb248a4e22b8d05ecfbccc50af52d6ad57cf95b4
PoolAllocated,2,SuperNode,50000000000000000000,50.0,USDx5,18,MachinePurchased,50000000000000000000 = 1000000000000000000000 * 500/10000 (floor by solidity),0x7123a25d205190e6844712cb18e39d6dd5316143,0x744447d8580eb900b199e852c132f626247a36f7,0x744447d8580eb900b199e852c132f626247a36f7,,,,5,7621330,0xb460692e7c29152ed256660ffb248a4e22b8d05ecfbccc50af52d6ad57cf95b4
PoolAllocated,3,Node,80000000000000000000,80.0,USDx5,18,MachinePurchased,80000000000000000000 = 1000000000000000000000 * 800/10000 (floor by solidity),0x7123a25d205190e6844712cb18e39d6dd5316143,0x744447d8580eb900b199e852c132f626247a36f7,0x744447d8580eb900b199e852c132f626247a36f7,,,,5,7621330,0xb460692e7c29152ed256660ffb248a4e22b8d05ecfbccc50af52d6ad57cf95b4
PoolAllocated,4,Platform,200000000000000000000,200.0,USDx5,18,MachinePurchased,200000000000000000000 = 1000000000000000000000 * 2000/10000 (floor by solidity),0x7123a25d205190e6844712cb18e39d6dd5316143,0x744447d8580eb900b199e852c132f626247a36f7,0x744447d8580eb900b199e852c132f626247a36f7,,,,5,7621330,0xb460692e7c29152ed256660ffb248a4e22b8d05ecfbccc50af52d6ad57cf95b4
PoolAllocated,5,Leaderboard,20000000000000000000,20.0,USDx5,18,MachinePurchased,20000000000000000000 = 1000000000000000000000 * 200/10000 (floor by solidity),0x7123a25d205190e6844712cb18e39d6dd5316143,0x744447d8580eb900b199e852c132f626247a36f7,0x744447d8580eb900b199e852c132f626247a36f7,,,,5,7621330,0xb460692e7c29152ed256660ffb248a4e22b8d05ecfbccc50af52d6ad57cf95b4
PoolAllocated,0,Liquidity,600000000000000000000,600.0,USDx5,18,NodePurchased,600000000000000000000 = 1000000000000000000000 * 6000/10000 (floor by solidity),0x2f0549714e63b91d07c84100f1e753d4516bb9f0,,0x744447d8580eb900b199e852c132f626247a36f7,,,,1000000002,7626694,0x8f19aec0a9d4f065ecc67c16c00eee7ff004254217c7116b8b059d2b35d8625b
PoolAllocated,1,Referral,50000000000000000000,50.0,USDx5,18,NodePurchased,50000000000000000000 = 1000000000000000000000 * 500/10000 (floor by solidity),0x2f0549714e63b91d07c84100f1e753d4516bb9f0,,0x744447d8580eb900b199e852c132f626247a36f7,,,,1000000002,7626694,0x8f19aec0a9d4f065ecc67c16c00eee7ff004254217c7116b8b059d2b35d8625b
PoolAllocated,2,SuperNode,50000000000000000000,50.0,USDx5,18,NodePurchased,50000000000000000000 = 1000000000000000000000 * 500/10000 (floor by solidity),0x2f0549714e63b91d07c84100f1e753d4516bb9f0,,0x744447d8580eb900b199e852c132f626247a36f7,,,,1000000002,7626694,0x8f19aec0a9d4f065ecc67c16c00eee7ff004254217c7116b8b059d2b35d8625b
